person_id,person_trip_id,trip_list_id_num,trace,pathdir,pathmode,pf_iteration,pathnum,pf_cost,pf_fare,pf_probability,pf_initcost,pf_initfare,description,chosen,bump_iter,missed_xfer,sim_cost,ln_PS,logsum_component,logsum,probability,iteration,pathfinding_iteration
Shammond Williams,1,10,False,2,transit,1.0100000000,0,36.0000000000,0.0000000000,1.0000000000,36.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,iter1.01 sim0,,0,36.0000000000,0.0000000000,0.0000000152,0.0000000152,1.0000000000,1,2
Mrs. Wuf,1,11,False,2,transit,1.0200000000,0,49.0000000000,0.0000000000,0.7297362141,49.0000000000,0.0000000000,O walk_access A local_bus Blue_B2 B transfer B2 local_bus Green_G3 C2 walk_egress D,iter1.02 sim0,,0,49.0000000000,-0.8362480242,0.0000000000,0.0000000000,0.6751973647,1,2
Marcus Melvin,1,12,False,2,transit,1.0200000000,1,51.0000000000,0.0000000000,0.2684549507,51.0000000000,0.0000000000,O walk_access A local_bus Blue_B2 B transfer B1 local_bus Red_R2 C1 walk_egress D,iter1.02 sim0,,0,51.0000000000,-0.3101549283,0.0000000000,0.0000000000,0.3231289884,1,2
Archie Miller,1,13,False,2,transit,1.0200000000,0,49.0000000000,0.0000000000,0.7297362141,49.0000000000,0.0000000000,O walk_access A local_bus Blue_B2 B transfer B2 local_bus Green_G3 C2 walk_egress D,iter1.02 sim0,,0,49.0000000000,-0.8362480242,0.0000000000,0.0000000000,0.6751973647,1,2
Julius Hodge,1,14,False,2,transit,1.0200000000,0,49.0000000000,0.0000000000,0.7297362141,49.0000000000,0.0000000000,O walk_access A local_bus Blue_B2 B transfer B2 local_bus Green_G3 C2 walk_egress D,iter1.02 sim0,,0,49.0000000000,-0.8362480242,0.0000000000,0.0000000000,0.6751973647,1,2
Illian Evtimov,1,15,False,2,transit,1.0200000000,0,49.0000000000,0.0000000000,0.7297362141,49.0000000000,0.0000000000,O walk_access A local_bus Blue_B2 B transfer B2 local_bus Green_G3 C2 walk_egress D,iter1.02 sim0,,0,49.0000000000,-0.8362480242,0.0000000000,0.0000000000,0.6751973647,1,2
Scooter Sherrill,1,16,False,2,transit,1.0200000000,1,51.0000000000,0.0000000000,0.2684549507,51.0000000000,0.0000000000,O walk_access A local_bus Blue_B2 B transfer B1 local_bus Red_R2 C1 walk_egress D,iter1.02 sim0,,0,51.0000000000,-0.3101549283,0.0000000000,0.0000000000,0.3231289884,1,2
Josh Powell,1,17,False,2,transit,1.0200000000,1,51.0000000000,0.0000000000,0.2684549507,51.0000000000,0.0000000000,O walk_access A local_bus Blue_B2 B transfer B1 local_bus Red_R2 C1 walk_egress D,iter1.02 sim0,,0,51.0000000000,-0.3101549283,0.0000000000,0.0000000000,0.3231289884,1,2
Anthony Grundy,1,18,False,2,transit,1.0200000000,0,49.0000000000,0.0000000000,0.7297362141,49.0000000000,0.0000000000,O walk_access A local_bus Blue_B2 B transfer B2 local_bus Green_G3 C2 walk_egress D,iter1.02 sim0,,0,49.0000000000,-0.8362480242,0.0000000000,0.0000000000,0.6751973647,1,2
Mike K.,1,19,False,2,transit,1.0200000000,0,49.0000000000,0.0000000000,1.0000000000,49.0000000000,0.0000000000,O walk_access A local_bus Blue_B3 B transfer B2 local_bus Green_G4 C2 walk_egress D,iter1.02 sim0,,0,49.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1,2
Jeff Capel,1,20,False,2,transit,1.0200000000,0,49.0000000000,0.0000000000,1.0000000000,49.0000000000,0.0000000000,O walk_access A local_bus Blue_B3 B transfer B2 local_bus Green_G4 C2 walk_egress D,iter1.02 sim0,,0,49.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1,2
Grant Hill,1,21,False,2,transit,1.0200000000,0,49.0000000000,0.0000000000,1.0000000000,49.0000000000,0.0000000000,O walk_access A local_bus Blue_B3 B transfer B2 local_bus Green_G4 C2 walk_egress D,iter1.02 sim0,,0,49.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1,2
Bobby Hurley,1,22,False,2,transit,1.0200000000,0,49.0000000000,0.0000000000,1.0000000000,49.0000000000,0.0000000000,O walk_access A local_bus Blue_B3 B transfer B2 local_bus Green_G4 C2 walk_egress D,iter1.02 sim0,,0,49.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1,2
Christian Laettner,1,23,False,2,transit,1.0200000000,0,49.0000000000,0.0000000000,1.0000000000,49.0000000000,0.0000000000,O walk_access A local_bus Blue_B3 B transfer B2 local_bus Green_G4 C2 walk_egress D,iter1.02 sim0,,0,49.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1,2
Carlos Boozer,1,24,False,2,transit,1.0200000000,0,49.0000000000,0.0000000000,1.0000000000,49.0000000000,0.0000000000,O walk_access A local_bus Blue_B3 B transfer B2 local_bus Green_G4 C2 walk_egress D,iter1.02 sim0,,0,49.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1,2
Jayson Williams,1,25,False,2,transit,1.0200000000,0,49.0000000000,0.0000000000,1.0000000000,49.0000000000,0.0000000000,O walk_access A local_bus Blue_B3 B transfer B2 local_bus Green_G4 C2 walk_egress D,iter1.02 sim0,,0,49.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1,2
Shane Battier,1,26,False,2,transit,1.0200000000,0,49.0000000000,0.0000000000,1.0000000000,49.0000000000,0.0000000000,O walk_access A local_bus Blue_B3 B transfer B2 local_bus Green_G4 C2 walk_egress D,iter1.02 sim0,,0,49.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1,2
