person_id,person_trip_id,trip_list_id_num,trace,pf_iteration,pathnum,linkmode,trip_id_num,A_id_num,B_id_num,A_seq,B_seq,pf_A_time,pf_B_time,pf_linktime min,pf_linkfare,pf_linkcost,pf_linkdist,pf_waittime min,linknum,A_id,B_id,A_lat,A_lon,B_lat,B_lon,trip_id,route_id,mode_num,mode,split_first,chosen,bump_iter,board_state,alight_delay_min,new_A_time,new_B_time,new_linktime min,new_waittime min,missed_xfer,fare,fare_period,from_fare_period,transfer_fare_type,transfer_fare,free_transfer,distance,sim_cost,board_time,overcap,overcap_frac,alight_time,iteration,pathfinding_iteration,simulation_iteration
Jerry Stackhouse,1,4,False,1.0100000000,0,transit,9.0000000000,3,4,1,2,07:10:00,07:22:00,12.0000000000,0.0000000000,12.0000000000,0.5711582271,0.0000000000,1,E,F,35.7840890000,-78.6693540000,35.7810900000,-78.6598590000,O1,Orange,301.0000000000,local_bus,True,iter1.01 sim0,,boarded,0.0000000000,07:10:00,07:22:00,12.0000000000,0.0000000000,0,0,,,,,,0.5711582271,12.0000000000,07:10:00,0.0000000000,0.0000000000,07:22:00,1,1,2
Jerry Stackhouse,1,4,False,1.0100000000,0,egress,,4,10,-1,-1,07:22:00,07:32:00,10.0000000000,0.0000000000,20.0000000000,0.5000000000,,2,F,D,35.7810900000,-78.6598590000,,,,,201.0000000000,walk_egress,True,iter1.01 sim0,,,0.0000000000,07:22:00,07:32:00,10.0000000000,,0,0,,,,,,0.5000000000,20.0000000000,,,,,1,1,2
Dean Smith,1,5,False,1.0100000000,0,access,,9,3,-1,-1,07:08:00,07:10:00,2.0000000000,0.0000000000,4.0000000000,0.1000000000,,0,O,E,,,35.7840890000,-78.6693540000,,,101.0000000000,walk_access,True,iter1.01 sim0,,,0.0000000000,07:08:00,07:10:00,2.0000000000,,0,0,,,,,,0.1000000000,4.0000000000,,,,,1,1,2
Dean Smith,1,5,False,1.0100000000,0,transit,9.0000000000,3,4,1,2,07:10:00,07:22:00,12.0000000000,0.0000000000,12.0000000000,0.5711582271,0.0000000000,1,E,F,35.7840890000,-78.6693540000,35.7810900000,-78.6598590000,O1,Orange,301.0000000000,local_bus,True,iter1.01 sim0,,boarded,0.0000000000,07:10:00,07:22:00,12.0000000000,0.0000000000,0,0,,,,,,0.5711582271,12.0000000000,07:10:00,0.0000000000,0.0000000000,07:22:00,1,1,2
Dean Smith,1,5,False,1.0100000000,0,egress,,4,10,-1,-1,07:22:00,07:32:00,10.0000000000,0.0000000000,20.0000000000,0.5000000000,,2,F,D,35.7810900000,-78.6598590000,,,,,201.0000000000,walk_egress,True,iter1.01 sim0,,,0.0000000000,07:22:00,07:32:00,10.0000000000,,0,0,,,,,,0.5000000000,20.0000000000,,,,,1,1,2
Vince Carter,1,6,False,1.0100000000,0,access,,9,3,-1,-1,07:08:00,07:10:00,2.0000000000,0.0000000000,4.0000000000,0.1000000000,,0,O,E,,,35.7840890000,-78.6693540000,,,101.0000000000,walk_access,True,iter1.01 sim0,,,0.0000000000,07:08:00,07:10:00,2.0000000000,,0,0,,,,,,0.1000000000,4.0000000000,,,,,1,1,2
Vince Carter,1,6,False,1.0100000000,0,transit,9.0000000000,3,4,1,2,07:10:00,07:22:00,12.0000000000,0.0000000000,12.0000000000,0.5711582271,0.0000000000,1,E,F,35.7840890000,-78.6693540000,35.7810900000,-78.6598590000,O1,Orange,301.0000000000,local_bus,True,iter1.01 sim0,,boarded,0.0000000000,07:10:00,07:22:00,12.0000000000,0.0000000000,0,0,,,,,,0.5711582271,12.0000000000,07:10:00,0.0000000000,0.0000000000,07:22:00,1,1,2
Vince Carter,1,6,False,1.0100000000,0,egress,,4,10,-1,-1,07:22:00,07:32:00,10.0000000000,0.0000000000,20.0000000000,0.5000000000,,2,F,D,35.7810900000,-78.6598590000,,,,,201.0000000000,walk_egress,True,iter1.01 sim0,,,0.0000000000,07:22:00,07:32:00,10.0000000000,,0,0,,,,,,0.5000000000,20.0000000000,,,,,1,1,2
Antown Jamison,1,7,False,1.0100000000,0,access,,9,3,-1,-1,07:08:00,07:10:00,2.0000000000,0.0000000000,4.0000000000,0.1000000000,,0,O,E,,,35.7840890000,-78.6693540000,,,101.0000000000,walk_access,True,iter1.01 sim0,,,0.0000000000,07:08:00,07:10:00,2.0000000000,,0,0,,,,,,0.1000000000,4.0000000000,,,,,1,1,2
Antown Jamison,1,7,False,1.0100000000,0,transit,9.0000000000,3,4,1,2,07:10:00,07:22:00,12.0000000000,0.0000000000,12.0000000000,0.5711582271,0.0000000000,1,E,F,35.7840890000,-78.6693540000,35.7810900000,-78.6598590000,O1,Orange,301.0000000000,local_bus,True,iter1.01 sim0,,boarded,0.0000000000,07:10:00,07:22:00,12.0000000000,0.0000000000,0,0,,,,,,0.5711582271,12.0000000000,07:10:00,0.0000000000,0.0000000000,07:22:00,1,1,2
Antown Jamison,1,7,False,1.0100000000,0,egress,,4,10,-1,-1,07:22:00,07:32:00,10.0000000000,0.0000000000,20.0000000000,0.5000000000,,2,F,D,35.7810900000,-78.6598590000,,,,,201.0000000000,walk_egress,True,iter1.01 sim0,,,0.0000000000,07:22:00,07:32:00,10.0000000000,,0,0,,,,,,0.5000000000,20.0000000000,,,,,1,1,2
Serge Zwikker,1,8,False,1.0100000000,0,access,,9,3,-1,-1,07:08:00,07:10:00,2.0000000000,0.0000000000,4.0000000000,0.1000000000,,0,O,E,,,35.7840890000,-78.6693540000,,,101.0000000000,walk_access,True,iter1.01 sim0,,,0.0000000000,07:08:00,07:10:00,2.0000000000,,0,0,,,,,,0.1000000000,4.0000000000,,,,,1,1,2
Serge Zwikker,1,8,False,1.0100000000,0,transit,9.0000000000,3,4,1,2,07:10:00,07:22:00,12.0000000000,0.0000000000,12.0000000000,0.5711582271,0.0000000000,1,E,F,35.7840890000,-78.6693540000,35.7810900000,-78.6598590000,O1,Orange,301.0000000000,local_bus,True,iter1.01 sim0,,boarded,0.0000000000,07:10:00,07:22:00,12.0000000000,0.0000000000,0,0,,,,,,0.5711582271,12.0000000000,07:10:00,0.0000000000,0.0000000000,07:22:00,1,1,2
Serge Zwikker,1,8,False,1.0100000000,0,egress,,4,10,-1,-1,07:22:00,07:32:00,10.0000000000,0.0000000000,20.0000000000,0.5000000000,,2,F,D,35.7810900000,-78.6598590000,,,,,201.0000000000,walk_egress,True,iter1.01 sim0,,,0.0000000000,07:22:00,07:32:00,10.0000000000,,0,0,,,,,,0.5000000000,20.0000000000,,,,,1,1,2
Dante Calabria,1,9,False,1.0100000000,0,access,,9,3,-1,-1,07:08:00,07:10:00,2.0000000000,0.0000000000,4.0000000000,0.1000000000,,0,O,E,,,35.7840890000,-78.6693540000,,,101.0000000000,walk_access,True,iter1.01 sim0,,,0.0000000000,07:08:00,07:10:00,2.0000000000,,0,0,,,,,,0.1000000000,4.0000000000,,,,,1,1,2
Dante Calabria,1,9,False,1.0100000000,0,transit,9.0000000000,3,4,1,2,07:10:00,07:22:00,12.0000000000,0.0000000000,12.0000000000,0.5711582271,0.0000000000,1,E,F,35.7840890000,-78.6693540000,35.7810900000,-78.6598590000,O1,Orange,301.0000000000,local_bus,True,iter1.01 sim0,,boarded,0.0000000000,07:10:00,07:22:00,12.0000000000,0.0000000000,0,0,,,,,,0.5711582271,12.0000000000,07:10:00,0.0000000000,0.0000000000,07:22:00,1,1,2
Dante Calabria,1,9,False,1.0100000000,0,egress,,4,10,-1,-1,07:22:00,07:32:00,10.0000000000,0.0000000000,20.0000000000,0.5000000000,,2,F,D,35.7810900000,-78.6598590000,,,,,201.0000000000,walk_egress,True,iter1.01 sim0,,,0.0000000000,07:22:00,07:32:00,10.0000000000,,0,0,,,,,,0.5000000000,20.0000000000,,,,,1,1,2
Shammond Williams,1,10,False,1.0100000000,0,access,,9,3,-1,-1,07:08:00,07:10:00,2.0000000000,0.0000000000,4.0000000000,0.1000000000,,0,O,E,,,35.7840890000,-78.6693540000,,,101.0000000000,walk_access,True,iter1.01 sim0,,,0.0000000000,07:08:00,07:10:00,2.0000000000,,0,0,,,,,,0.1000000000,4.0000000000,,,,,1,1,2
Shammond Williams,1,10,False,1.0100000000,0,transit,9.0000000000,3,4,1,2,07:10:00,07:22:00,12.0000000000,0.0000000000,12.0000000000,0.5711582271,0.0000000000,1,E,F,35.7840890000,-78.6693540000,35.7810900000,-78.6598590000,O1,Orange,301.0000000000,local_bus,True,iter1.01 sim0,,boarded,0.0000000000,07:10:00,07:22:00,12.0000000000,0.0000000000,0,0,,,,,,0.5711582271,12.0000000000,07:10:00,0.0000000000,0.0000000000,07:22:00,1,1,2
Shammond Williams,1,10,False,1.0100000000,0,egress,,4,10,-1,-1,07:22:00,07:32:00,10.0000000000,0.0000000000,20.0000000000,0.5000000000,,2,F,D,35.7810900000,-78.6598590000,,,,,201.0000000000,walk_egress,True,iter1.01 sim0,,,0.0000000000,07:22:00,07:32:00,10.0000000000,,0,0,,,,,,0.5000000000,20.0000000000,,,,,1,1,2
Mrs. Wuf,1,11,False,1.0100000000,0,access,,9,3,-1,-1,07:08:00,07:10:00,2.0000000000,0.0000000000,4.0000000000,0.1000000000,,0,O,E,,,35.7840890000,-78.6693540000,,,101.0000000000,walk_access,True,iter1.01 sim0,0.0000000000,,0.0000000000,07:08:00,07:10:00,2.0000000000,,0,0,,,,,,0.1000000000,9999.0000000000,,,,,1,1,2
Mrs. Wuf,1,11,False,1.0100000000,0,transit,9.0000000000,3,4,1,2,07:10:00,07:22:00,12.0000000000,0.0000000000,12.0000000000,0.5711582271,0.0000000000,1,E,F,35.7840890000,-78.6693540000,35.7810900000,-78.6598590000,O1,Orange,301.0000000000,local_bus,True,iter1.01 sim0,0.0000000000,bumped,0.0000000000,07:10:00,07:22:00,12.0000000000,0.0000000000,0,0,,,,,,0.5711582271,39996.0000000000,07:10:00,0.0000000000,0.0000000000,07:22:00,1,1,2
Mrs. Wuf,1,11,False,1.0100000000,0,egress,,4,10,-1,-1,07:22:00,07:32:00,10.0000000000,0.0000000000,20.0000000000,0.5000000000,,2,F,D,35.7810900000,-78.6598590000,,,,,201.0000000000,walk_egress,True,iter1.01 sim0,0.0000000000,,0.0000000000,07:22:00,07:32:00,10.0000000000,,0,0,,,,,,0.5000000000,9999.0000000000,,,,,1,1,2
Marcus Melvin,1,12,False,1.0100000000,0,access,,9,3,-1,-1,07:08:00,07:10:00,2.0000000000,0.0000000000,4.0000000000,0.1000000000,,0,O,E,,,35.7840890000,-78.6693540000,,,101.0000000000,walk_access,True,iter1.01 sim0,0.0000000000,,0.0000000000,07:08:00,07:10:00,2.0000000000,,0,0,,,,,,0.1000000000,9999.0000000000,,,,,1,1,2
Marcus Melvin,1,12,False,1.0100000000,0,transit,9.0000000000,3,4,1,2,07:10:00,07:22:00,12.0000000000,0.0000000000,12.0000000000,0.5711582271,0.0000000000,1,E,F,35.7840890000,-78.6693540000,35.7810900000,-78.6598590000,O1,Orange,301.0000000000,local_bus,True,iter1.01 sim0,0.0000000000,bumped,0.0000000000,07:10:00,07:22:00,12.0000000000,0.0000000000,0,0,,,,,,0.5711582271,39996.0000000000,07:10:00,0.0000000000,0.0000000000,07:22:00,1,1,2
Marcus Melvin,1,12,False,1.0100000000,0,egress,,4,10,-1,-1,07:22:00,07:32:00,10.0000000000,0.0000000000,20.0000000000,0.5000000000,,2,F,D,35.7810900000,-78.6598590000,,,,,201.0000000000,walk_egress,True,iter1.01 sim0,0.0000000000,,0.0000000000,07:22:00,07:32:00,10.0000000000,,0,0,,,,,,0.5000000000,9999.0000000000,,,,,1,1,2
Archie Miller,1,13,False,1.0100000000,0,access,,9,3,-1,-1,07:08:00,07:10:00,2.0000000000,0.0000000000,4.0000000000,0.1000000000,,0,O,E,,,35.7840890000,-78.6693540000,,,101.0000000000,walk_access,True,iter1.01 sim0,0.0000000000,,0.0000000000,07:08:00,07:10:00,2.0000000000,,0,0,,,,,,0.1000000000,9999.0000000000,,,,,1,1,2
Archie Miller,1,13,False,1.0100000000,0,transit,9.0000000000,3,4,1,2,07:10:00,07:22:00,12.0000000000,0.0000000000,12.0000000000,0.5711582271,0.0000000000,1,E,F,35.7840890000,-78.6693540000,35.7810900000,-78.6598590000,O1,Orange,301.0000000000,local_bus,True,iter1.01 sim0,0.0000000000,bumped,0.0000000000,07:10:00,07:22:00,12.0000000000,0.0000000000,0,0,,,,,,0.5711582271,39996.0000000000,07:10:00,0.0000000000,0.0000000000,07:22:00,1,1,2
Archie Miller,1,13,False,1.0100000000,0,egress,,4,10,-1,-1,07:22:00,07:32:00,10.0000000000,0.0000000000,20.0000000000,0.5000000000,,2,F,D,35.7810900000,-78.6598590000,,,,,201.0000000000,walk_egress,True,iter1.01 sim0,0.0000000000,,0.0000000000,07:22:00,07:32:00,10.0000000000,,0,0,,,,,,0.5000000000,9999.0000000000,,,,,1,1,2
Julius Hodge,1,14,False,1.0100000000,0,access,,9,3,-1,-1,07:08:00,07:10:00,2.0000000000,0.0000000000,4.0000000000,0.1000000000,,0,O,E,,,35.7840890000,-78.6693540000,,,101.0000000000,walk_access,True,iter1.01 sim0,0.0000000000,,0.0000000000,07:08:00,07:10:00,2.0000000000,,0,0,,,,,,0.1000000000,9999.0000000000,,,,,1,1,2
Julius Hodge,1,14,False,1.0100000000,0,transit,9.0000000000,3,4,1,2,07:10:00,07:22:00,12.0000000000,0.0000000000,12.0000000000,0.5711582271,0.0000000000,1,E,F,35.7840890000,-78.6693540000,35.7810900000,-78.6598590000,O1,Orange,301.0000000000,local_bus,True,iter1.01 sim0,0.0000000000,bumped,0.0000000000,07:10:00,07:22:00,12.0000000000,0.0000000000,0,0,,,,,,0.5711582271,39996.0000000000,07:10:00,0.0000000000,0.0000000000,07:22:00,1,1,2
Julius Hodge,1,14,False,1.0100000000,0,egress,,4,10,-1,-1,07:22:00,07:32:00,10.0000000000,0.0000000000,20.0000000000,0.5000000000,,2,F,D,35.7810900000,-78.6598590000,,,,,201.0000000000,walk_egress,True,iter1.01 sim0,0.0000000000,,0.0000000000,07:22:00,07:32:00,10.0000000000,,0,0,,,,,,0.5000000000,9999.0000000000,,,,,1,1,2
Illian Evtimov,1,15,False,1.0100000000,0,access,,9,3,-1,-1,07:08:00,07:10:00,2.0000000000,0.0000000000,4.0000000000,0.1000000000,,0,O,E,,,35.7840890000,-78.6693540000,,,101.0000000000,walk_access,True,iter1.01 sim0,0.0000000000,,0.0000000000,07:08:00,07:10:00,2.0000000000,,0,0,,,,,,0.1000000000,9999.0000000000,,,,,1,1,2
Illian Evtimov,1,15,False,1.0100000000,0,transit,9.0000000000,3,4,1,2,07:10:00,07:22:00,12.0000000000,0.0000000000,12.0000000000,0.5711582271,0.0000000000,1,E,F,35.7840890000,-78.6693540000,35.7810900000,-78.6598590000,O1,Orange,301.0000000000,local_bus,True,iter1.01 sim0,0.0000000000,bumped,0.0000000000,07:10:00,07:22:00,12.0000000000,0.0000000000,0,0,,,,,,0.5711582271,39996.0000000000,07:10:00,0.0000000000,0.0000000000,07:22:00,1,1,2
Illian Evtimov,1,15,False,1.0100000000,0,egress,,4,10,-1,-1,07:22:00,07:32:00,10.0000000000,0.0000000000,20.0000000000,0.5000000000,,2,F,D,35.7810900000,-78.6598590000,,,,,201.0000000000,walk_egress,True,iter1.01 sim0,0.0000000000,,0.0000000000,07:22:00,07:32:00,10.0000000000,,0,0,,,,,,0.5000000000,9999.0000000000,,,,,1,1,2
Scooter Sherrill,1,16,False,1.0100000000,0,access,,9,3,-1,-1,07:08:00,07:10:00,2.0000000000,0.0000000000,4.0000000000,0.1000000000,,0,O,E,,,35.7840890000,-78.6693540000,,,101.0000000000,walk_access,True,iter1.01 sim0,0.0000000000,,0.0000000000,07:08:00,07:10:00,2.0000000000,,0,0,,,,,,0.1000000000,9999.0000000000,,,,,1,1,2
Scooter Sherrill,1,16,False,1.0100000000,0,transit,9.0000000000,3,4,1,2,07:10:00,07:22:00,12.0000000000,0.0000000000,12.0000000000,0.5711582271,0.0000000000,1,E,F,35.7840890000,-78.6693540000,35.7810900000,-78.6598590000,O1,Orange,301.0000000000,local_bus,True,iter1.01 sim0,0.0000000000,bumped,0.0000000000,07:10:00,07:22:00,12.0000000000,0.0000000000,0,0,,,,,,0.5711582271,39996.0000000000,07:10:00,0.0000000000,0.0000000000,07:22:00,1,1,2
Scooter Sherrill,1,16,False,1.0100000000,0,egress,,4,10,-1,-1,07:22:00,07:32:00,10.0000000000,0.0000000000,20.0000000000,0.5000000000,,2,F,D,35.7810900000,-78.6598590000,,,,,201.0000000000,walk_egress,True,iter1.01 sim0,0.0000000000,,0.0000000000,07:22:00,07:32:00,10.0000000000,,0,0,,,,,,0.5000000000,9999.0000000000,,,,,1,1,2
Josh Powell,1,17,False,1.0100000000,0,access,,9,3,-1,-1,07:08:00,07:10:00,2.0000000000,0.0000000000,4.0000000000,0.1000000000,,0,O,E,,,35.7840890000,-78.6693540000,,,101.0000000000,walk_access,True,iter1.01 sim0,0.0000000000,,0.0000000000,07:08:00,07:10:00,2.0000000000,,0,0,,,,,,0.1000000000,9999.0000000000,,,,,1,1,2
Josh Powell,1,17,False,1.0100000000,0,transit,9.0000000000,3,4,1,2,07:10:00,07:22:00,12.0000000000,0.0000000000,12.0000000000,0.5711582271,0.0000000000,1,E,F,35.7840890000,-78.6693540000,35.7810900000,-78.6598590000,O1,Orange,301.0000000000,local_bus,True,iter1.01 sim0,0.0000000000,bumped,0.0000000000,07:10:00,07:22:00,12.0000000000,0.0000000000,0,0,,,,,,0.5711582271,39996.0000000000,07:10:00,0.0000000000,0.0000000000,07:22:00,1,1,2
Josh Powell,1,17,False,1.0100000000,0,egress,,4,10,-1,-1,07:22:00,07:32:00,10.0000000000,0.0000000000,20.0000000000,0.5000000000,,2,F,D,35.7810900000,-78.6598590000,,,,,201.0000000000,walk_egress,True,iter1.01 sim0,0.0000000000,,0.0000000000,07:22:00,07:32:00,10.0000000000,,0,0,,,,,,0.5000000000,9999.0000000000,,,,,1,1,2
Anthony Grundy,1,18,False,1.0100000000,0,access,,9,3,-1,-1,07:08:00,07:10:00,2.0000000000,0.0000000000,4.0000000000,0.1000000000,,0,O,E,,,35.7840890000,-78.6693540000,,,101.0000000000,walk_access,True,iter1.01 sim0,0.0000000000,,0.0000000000,07:08:00,07:10:00,2.0000000000,,0,0,,,,,,0.1000000000,9999.0000000000,,,,,1,1,2
Anthony Grundy,1,18,False,1.0100000000,0,transit,9.0000000000,3,4,1,2,07:10:00,07:22:00,12.0000000000,0.0000000000,12.0000000000,0.5711582271,0.0000000000,1,E,F,35.7840890000,-78.6693540000,35.7810900000,-78.6598590000,O1,Orange,301.0000000000,local_bus,True,iter1.01 sim0,0.0000000000,bumped,0.0000000000,07:10:00,07:22:00,12.0000000000,0.0000000000,0,0,,,,,,0.5711582271,39996.0000000000,07:10:00,0.0000000000,0.0000000000,07:22:00,1,1,2
Anthony Grundy,1,18,False,1.0100000000,0,egress,,4,10,-1,-1,07:22:00,07:32:00,10.0000000000,0.0000000000,20.0000000000,0.5000000000,,2,F,D,35.7810900000,-78.6598590000,,,,,201.0000000000,walk_egress,True,iter1.01 sim0,0.0000000000,,0.0000000000,07:22:00,07:32:00,10.0000000000,,0,0,,,,,,0.5000000000,9999.0000000000,,,,,1,1,2
Mike K.,1,19,False,1.0100000000,0,access,,9,3,-1,-1,07:08:00,07:10:00,2.0000000000,0.0000000000,4.0000000000,0.1000000000,,0,O,E,,,35.7840890000,-78.6693540000,,,101.0000000000,walk_access,True,iter1.01 sim0,0.0000000000,,0.0000000000,07:08:00,07:10:00,2.0000000000,,0,0,,,,,,0.1000000000,9999.0000000000,,,,,1,1,2
Mike K.,1,19,False,1.0100000000,0,transit,9.0000000000,3,4,1,2,07:10:00,07:22:00,12.0000000000,0.0000000000,12.0000000000,0.5711582271,0.0000000000,1,E,F,35.7840890000,-78.6693540000,35.7810900000,-78.6598590000,O1,Orange,301.0000000000,local_bus,True,iter1.01 sim0,0.0000000000,bumped,0.0000000000,07:10:00,07:22:00,12.0000000000,0.0000000000,0,0,,,,,,0.5711582271,39996.0000000000,07:10:00,0.0000000000,0.0000000000,07:22:00,1,1,2
Mike K.,1,19,False,1.0100000000,0,egress,,4,10,-1,-1,07:22:00,07:32:00,10.0000000000,0.0000000000,20.0000000000,0.5000000000,,2,F,D,35.7810900000,-78.6598590000,,,,,201.0000000000,walk_egress,True,iter1.01 sim0,0.0000000000,,0.0000000000,07:22:00,07:32:00,10.0000000000,,0,0,,,,,,0.5000000000,9999.0000000000,,,,,1,1,2
Jeff Capel,1,20,False,1.0100000000,0,access,,9,3,-1,-1,07:08:00,07:10:00,2.0000000000,0.0000000000,4.0000000000,0.1000000000,,0,O,E,,,35.7840890000,-78.6693540000,,,101.0000000000,walk_access,True,iter1.01 sim0,0.0000000000,,0.0000000000,07:08:00,07:10:00,2.0000000000,,0,0,,,,,,0.1000000000,9999.0000000000,,,,,1,1,2
Jeff Capel,1,20,False,1.0100000000,0,transit,9.0000000000,3,4,1,2,07:10:00,07:22:00,12.0000000000,0.0000000000,12.0000000000,0.5711582271,0.0000000000,1,E,F,35.7840890000,-78.6693540000,35.7810900000,-78.6598590000,O1,Orange,301.0000000000,local_bus,True,iter1.01 sim0,0.0000000000,bumped,0.0000000000,07:10:00,07:22:00,12.0000000000,0.0000000000,0,0,,,,,,0.5711582271,39996.0000000000,07:10:00,0.0000000000,0.0000000000,07:22:00,1,1,2
Jeff Capel,1,20,False,1.0100000000,0,egress,,4,10,-1,-1,07:22:00,07:32:00,10.0000000000,0.0000000000,20.0000000000,0.5000000000,,2,F,D,35.7810900000,-78.6598590000,,,,,201.0000000000,walk_egress,True,iter1.01 sim0,0.0000000000,,0.0000000000,07:22:00,07:32:00,10.0000000000,,0,0,,,,,,0.5000000000,9999.0000000000,,,,,1,1,2
Grant Hill,1,21,False,1.0100000000,0,access,,9,3,-1,-1,07:08:00,07:10:00,2.0000000000,0.0000000000,4.0000000000,0.1000000000,,0,O,E,,,35.7840890000,-78.6693540000,,,101.0000000000,walk_access,True,iter1.01 sim0,0.0000000000,,0.0000000000,07:08:00,07:10:00,2.0000000000,,0,0,,,,,,0.1000000000,9999.0000000000,,,,,1,1,2
Grant Hill,1,21,False,1.0100000000,0,transit,9.0000000000,3,4,1,2,07:10:00,07:22:00,12.0000000000,0.0000000000,12.0000000000,0.5711582271,0.0000000000,1,E,F,35.7840890000,-78.6693540000,35.7810900000,-78.6598590000,O1,Orange,301.0000000000,local_bus,True,iter1.01 sim0,0.0000000000,bumped,0.0000000000,07:10:00,07:22:00,12.0000000000,0.0000000000,0,0,,,,,,0.5711582271,39996.0000000000,07:10:00,0.0000000000,0.0000000000,07:22:00,1,1,2
